Error_Rate,min_prob,num_correct,num_incorrect,
0,1,27,0,
0.0001,0.999,118,0,
0.0002,0.9983,128,0,
0.0003,0.9974,135,0,
0.0004,0.9971,141,0,
0.0005,0.9969,146,0,
0.0006,0.9965,152,0,
0.0007,0.996,156,0,
0.0008,0.9956,161,0,
0.0009,0.9952,165,0,
0.001,0.9949,169,0,
0.0015,0.9925,187,0,
0.002,0.9908,202,0,
0.0025,0.9889,214,1,
0.003,0.9872,226,1,
0.004,0.9819,246,1,
0.005,0.9755,261,1,
0.006,0.9667,271,2,
0.007,0.9588,280,2,
0.008,0.9528,288,2,
0.009,0.9442,293,3,
0.01,0.9385,299,3,
0.015,0.9169,324,5,
0.02,0.8844,343,7,
0.025,0.8653,358,9,
0.03,0.8444,371,12,
0.04,0.7598,391,17,
0.05,0.6859,404,22,
0.075,0.5302,426,35,
0.1,0.4001,437,49,
+3 only,,,,+3 
0,1,3,0,
0.0001,0.9987,10,0,
0.0002,0.9987,10,0,
0.0003,0.9984,11,0,
0.0004,0.9981,12,0,
0.0005,0.9909,13,0,
0.0006,0.9909,13,0,
0.0007,0.9909,13,0,
0.0008,0.9909,13,0,
0.0009,0.9909,13,0,
0.001,0.9909,13,0,
0.0015,0.932,14,0,
0.002,0.932,14,0,
0.0025,0.932,14,0,
0.003,0.932,14,0,
0.004,0.932,14,0,
0.005,0.932,14,0,
0.006,0.932,14,0,
0.007,0.8038,15,0,
0.008,0.8038,15,0,
0.009,0.8038,15,0,
0.01,0.8038,15,0,
0.015,0.8038,15,0,
0.02,0.7824,15,1,
0.025,0.7824,15,1,
0.03,0.7824,15,1,
0.04,0.682,15,2,
0.05,0.682,15,2,
0.075,0.104,15,3,
0.1,0.104,15,3,
+4 only,,,,+4 
0,1,3,0,
0.0001,0.9992,21,0,
0.0002,0.9975,23,0,
0.0003,0.9975,24,0,
0.0004,0.9974,25,0,
0.0005,0.9974,26,0,
0.0006,0.9971,27,0,
0.0007,0.997,28,0,
0.0008,0.9968,30,0,
0.0009,0.9968,31,0,
0.001,0.9966,32,0,
0.0015,0.9957,39,0,
0.002,0.9949,45,0,
0.0025,0.9931,52,0,
0.003,0.992,57,0,
0.004,0.9897,69,0,
0.005,0.9879,80,0,
0.006,0.9832,87,1,
0.007,0.9799,94,1,
0.008,0.9691,100,1,
0.009,0.9599,104,1,
0.01,0.9587,107,1,
0.015,0.9184,118,2,
0.02,0.8935,125,3,
0.025,0.8521,130,4,
0.03,0.8021,135,4,
0.04,0.7479,140,6,
0.05,0.6204,144,8,
0.075,0.4304,149,13,
0.1,0.3273,151,18,
+5 only,,,,+5 
0,1,12,0,
0.0001,0.9991,54,0,
0.0002,0.9986,60,0,
0.0003,0.9979,65,0,
0.0004,0.9973,68,0,
0.0005,0.9971,71,0,
0.0006,0.9969,73,0,
0.0007,0.996,76,0,
0.0008,0.9949,78,0,
0.0009,0.9946,80,0,
0.001,0.9944,81,0,
0.0015,0.9908,88,0,
0.002,0.9887,94,0,
0.0025,0.9872,99,0,
0.003,0.9854,103,0,
0.004,0.9795,111,0,
0.005,0.9691,116,1,
0.006,0.964,120,1,
0.007,0.9576,124,1,
0.008,0.9532,127,1,
0.009,0.9468,130,1,
0.01,0.9389,133,1,
0.015,0.9275,145,2,
0.02,0.9072,155,3,
0.025,0.8786,163,4,
0.03,0.8599,171,5,
0.04,0.7855,182,8,
0.05,0.7222,188,10,
0.075,0.5913,199,17,
0.1,0.4209,206,23,
+6 only,,,,+6 
0,1,15,0,
0.0001,0.997,36,0,
0.0002,0.9956,37,0,
0.0003,0.9954,38,0,
0.0004,0.9862,39,0,
0.0005,0.9862,39,0,
0.0006,0.9862,39,0,
0.0007,0.9862,39,0,
0.0008,0.9748,40,0,
0.0009,0.9748,40,0,
0.001,0.9748,40,0,
0.0015,0.9701,41,0,
0.002,0.9701,41,0,
0.0025,0.951,42,0,
0.003,0.951,42,0,
0.004,0.9397,43,0,
0.005,0.92,44,0,
0.006,0.92,44,0,
0.007,0.9156,45,0,
0.008,0.9156,45,0,
0.009,0.8904,45,1,
0.01,0.8904,45,1,
0.015,0.8789,48,1,
0.02,0.8658,50,1,
0.025,0.8506,51,2,
0.03,0.8423,53,2,
0.04,0.8091,56,3,
0.05,0.7398,59,3,
0.075,0.6046,62,6,
0.1,0.4641,65,8,
